name,required_age,is_free,game_id
Die Fantastischen VR - Fantaventura,0,False,269
New York Mysteries: The Outbreak,0,False,270
1971 PROJECT HELIOS,0,False,271
Pumpkin Jack,0,False,272
MADELA,0,False,273
Timpu's treasure,0,False,274
The Cruxis Sword,0,False,275
Terro Lunkka Adventures,0,False,276
Kyle is Famous,0,True,277
Disgrâce,0,False,278
Beast Brigade,0,False,279
All Day Dying: Redux Edition,0,False,280
Wire Lips,0,False,281
Bondage Girl,0,False,282
Nosferatu Lilinor,0,False,283
Dodge If you Can!,0,False,284
Ballance: The Return,0,False,285
Mailbox,0,False,286
Action Ball 2,0,False,287
Lethal Tempting Girls,0,False,288
神国：创造（The Kingdom of God）,0,False,289
NecroLand : Undead Corps,0,False,290
CubeParkour,0,False,291
Sex Adventure - The Board Game,0,False,292
Arrog,0,False,293
Lovely Hentai,0,False,294
Mira,0,False,295
Hollow Island,0,False,296
Skyland 1976,0,False,297
Wars of the Roses,0,False,298
Napoleon in Russia,0,False,299
Death Park,0,False,300
Worms Rumble,0,False,301
Blades of Gory,0,False,302
Alan Sharp,0,False,303
How to Become a Ninja: Part 1,0,False,304
Minigame Blast,0,False,305
Deathbloom: Chapter 2,0,False,306
Doom of the Clawn,0,False,307
Love Rhythm,0,False,308
Escalation: Aggressors,0,False,309
The Explorer,16,False,310
Huuma Mina: The Secret of Immortality,0,False,311
Bloody trains,0,False,312
The Golden Cross,0,False,313
Inunaki Tunnel | 犬鳴トンネル,0,False,314
经典扫雷,0,False,315
The Innkeeper,0,False,316
Magic of Autumn,0,False,317
ASTROPUPPA,18,False,318
YUKI,0,False,319
TERMINAL VR,0,False,320
Last Neighbor,0,False,321
Whispered Secrets: Dreadful Beauty Collector's Edition,0,False,322
Later,0,False,323
The Political Process,0,False,324
BOTS,0,False,325
Poker Quest,0,False,326
Chaos Galaxy,0,False,327
Puzzle Girls,0,False,328
Fleeting Iris,0,False,329
Unitied,0,False,330
D1896,0,False,331
Gears Tactics,18,False,332
Overrun,0,False,333
